,user_id,users_course_id,action,created_at,updated_at,lesson_id
0,665767,449201,visit_video,2025-10-13 12:20:00,2025-10-13 12:20:00,
1,665767,449201,visit_video,2025-10-13 13:52:00,2025-10-13 13:52:00,
2,665767,449201,visit_video,2025-10-15 02:48:00,2025-10-15 02:48:00,
3,665767,449201,visit_translation,2025-10-17 15:25:00,2025-10-17 15:25:00,
4,665767,449201,visit_translation,2025-10-17 15:35:00,2025-10-17 15:35:00,
5,665767,449201,visit_translation,2025-10-17 15:46:00,2025-10-17 15:46:00,
6,665767,449201,visit_translation,2025-10-17 16:14:00,2025-10-17 16:14:00,
7,665767,449201,user_answer,2025-10-17 16:25:00,2025-10-17 16:25:00,
8,665767,449201,visit_video,2025-10-17 16:39:00,2025-10-17 16:39:00,
9,665767,449201,visit_video,2025-10-17 16:40:00,2025-10-17 16:40:00,
10,665767,449201,visit_video,2025-10-17 16:41:00,2025-10-17 16:41:00,
11,665767,449201,visit_video,2025-10-23 12:50:00,2025-10-23 12:50:00,
12,665767,449201,user_answer,2025-10-23 12:55:00,2025-10-23 12:55:00,
13,665767,449201,user_answer,2025-10-23 12:56:00,2025-10-23 12:56:00,
14,665767,449201,user_answer,2025-10-23 12:56:00,2025-10-23 12:56:00,
15,665767,449201,user_answer,2025-10-23 12:56:00,2025-10-23 12:56:00,
16,665767,449201,visit_video,2025-10-24 06:26:00,2025-10-24 06:26:00,
17,665767,449201,visit_video,2025-10-24 06:26:00,2025-10-24 06:26:00,
18,665767,449201,visit_video,2025-10-27 08:08:00,2025-10-27 08:08:00,
19,665767,449201,visit_video,2025-10-27 08:22:00,2025-10-27 08:22:00,
20,665767,449201,visit_video,2025-10-31 12:47:00,2025-10-31 12:47:00,
21,665767,449201,user_answer,2025-10-31 12:48:00,2025-10-31 12:48:00,
22,665767,449201,visit_preparation_material,2025-10-31 12:51:00,2025-10-31 12:51:00,"5,509"
23,665767,449201,visit_video,2025-10-31 12:53:00,2025-10-31 12:53:00,
24,665767,449201,user_answer,2025-10-31 12:55:00,2025-10-31 12:55:00,
25,665767,449201,user_answer,2025-10-31 12:56:00,2025-10-31 12:56:00,
26,665767,449201,user_answer,2025-10-31 12:57:00,2025-10-31 12:57:00,
27,665767,449201,user_answer,2025-10-31 12:57:00,2025-10-31 12:57:00,
28,665767,449201,visit_video,2025-10-31 12:59:00,2025-10-31 12:59:00,
29,665767,449201,visit_preparation_material,2025-10-31 13:00:00,2025-10-31 13:00:00,"5,514"
30,665767,449201,visit_video,2025-10-31 13:00:00,2025-10-31 13:00:00,
31,665767,449201,visit_video,2025-11-01 10:42:00,2025-11-01 10:42:00,
32,665767,449201,visit_video,2025-11-06 13:12:00,2025-11-06 13:12:00,
33,665767,449201,user_answer,2025-11-06 13:16:00,2025-11-06 13:16:00,
34,665767,449201,user_answer,2025-11-06 13:39:00,2025-11-06 13:39:00,
35,665767,449201,user_answer,2025-11-06 13:40:00,2025-11-06 13:40:00,
36,665767,449201,user_answer,2025-11-06 13:42:00,2025-11-06 13:42:00,
37,665767,449201,user_answer,2025-11-06 13:43:00,2025-11-06 13:43:00,
38,665767,449201,visit_video,2025-11-06 13:45:00,2025-11-06 13:45:00,
39,665767,449201,visit_preparation_material,2025-11-06 13:45:00,2025-11-06 13:45:00,"5,517"
40,665767,449201,visit_video,2025-11-06 13:46:00,2025-11-06 13:46:00,
41,665767,449201,visit_video,2025-11-16 10:55:00,2025-11-16 10:55:00,
42,665767,449201,user_answer,2025-11-16 10:55:00,2025-11-16 10:55:00,
43,665767,449201,user_answer,2025-11-16 10:56:00,2025-11-16 10:56:00,
44,665767,449201,user_answer,2025-11-16 10:56:00,2025-11-16 10:56:00,
45,665767,449201,user_answer,2025-11-16 10:56:00,2025-11-16 10:56:00,
46,665767,449201,user_answer,2025-11-16 10:56:00,2025-11-16 10:56:00,
47,665767,449201,visit_video,2025-11-16 10:57:00,2025-11-16 10:57:00,
48,665767,449201,visit_preparation_material,2025-11-16 11:03:00,2025-11-16 11:03:00,"5,517"
49,665767,449201,visit_video,2025-11-16 11:03:00,2025-11-16 11:03:00,
50,665767,449201,visit_video,2025-11-16 11:08:00,2025-11-16 11:08:00,
51,665767,449201,visit_video,2025-11-16 11:10:00,2025-11-16 11:10:00,
52,665767,449201,visit_video,2025-11-16 11:19:00,2025-11-16 11:19:00,
53,665767,449201,visit_video,2025-11-16 11:20:00,2025-11-16 11:20:00,
54,665767,449201,user_answer,2025-11-16 11:37:00,2025-11-16 11:37:00,
55,665767,449201,user_answer,2025-11-16 11:37:00,2025-11-16 11:37:00,
56,665767,449201,visit_video,2025-11-26 23:42:00,2025-11-26 23:42:00,
57,665767,449201,visit_video,2025-11-26 23:42:00,2025-11-26 23:42:00,
58,665767,449201,visit_video,2025-11-26 23:43:00,2025-11-26 23:43:00,
59,665767,449201,user_answer,2025-11-26 23:44:00,2025-11-26 23:44:00,
60,665767,449201,user_answer,2025-11-26 23:47:00,2025-11-26 23:47:00,
61,665767,449201,user_answer,2025-11-26 23:48:00,2025-11-26 23:48:00,
62,665767,449201,user_answer,2025-11-26 23:49:00,2025-11-26 23:49:00,
63,665767,449201,user_answer,2025-11-26 23:50:00,2025-11-26 23:50:00,
64,665767,449201,visit_video,2025-11-26 23:54:00,2025-11-26 23:54:00,
65,665767,449201,visit_video,2025-11-27 00:02:00,2025-11-27 00:02:00,
66,665767,449201,visit_video,2025-12-04 23:08:00,2025-12-04 23:08:00,
67,665767,449201,visit_video,2025-12-04 23:09:00,2025-12-04 23:09:00,
68,665767,449201,visit_video,2025-12-04 23:10:00,2025-12-04 23:10:00,
69,665767,449201,visit_video,2025-12-04 23:12:00,2025-12-04 23:12:00,
70,665767,449201,visit_video,2025-12-04 23:12:00,2025-12-04 23:12:00,
71,665767,449201,visit_video,2025-12-14 03:18:00,2025-12-14 03:18:00,
72,665767,449201,user_answer,2025-12-14 03:44:00,2025-12-14 03:44:00,
