,Курс,Регион,Муниципалитет,Школа,user_id,Класс,Всего просмотров уроков,Из них онлайн,Из них в записи,Решал задач,Всего задач,Набрал баллов,Всего баллов
5270,755,Томская область,г Томск,SCHOOL-30A4-C17E-D716,675095,7 класс,0,0,0,0,216,0.0,224
5271,755,Томская область,г Томск,SCHOOL-30A4-C17E-D716,675096,7 класс,0,0,0,0,216,0.0,224
5272,755,Томская область,г Томск,SCHOOL-30A4-C17E-D716,675097,7 класс,0,0,0,0,216,0.0,224
5273,755,Томская область,г Томск,SCHOOL-30A4-C17E-D716,675098,7 класс,0,0,0,0,216,0.0,224
5274,755,Томская область,г Томск,SCHOOL-30A4-C17E-D716,675099,7 класс,0,0,0,0,216,0.0,224
5275,755,Томская область,г Томск,SCHOOL-CF96-CD1B-0CC4,675100,7 класс,0,0,0,0,216,0.0,224
5276,755,Томская область,г Томск,SCHOOL-30A4-C17E-D716,675101,7 класс,0,0,0,0,216,0.0,224
5277,755,Томская область,г Томск,SCHOOL-30A4-C17E-D716,675102,7 класс,0,0,0,0,216,0.0,224
5278,755,Томская область,г Томск,SCHOOL-30A4-C17E-D716,675103,7 класс,0,0,0,0,216,0.0,224
5279,755,Томская область,г Томск,SCHOOL-30A4-C17E-D716,675104,7 класс,0,0,0,0,216,0.0,224
5280,755,Томская область,г Томск,SCHOOL-30A4-C17E-D716,675105,7 класс,0,0,0,0,216,0.0,224
5281,755,Томская область,г Томск,SCHOOL-CF96-CD1B-0CC4,675106,7 класс,8,8,0,0,216,0.0,224
5282,755,Томская область,г Томск,SCHOOL-CF96-CD1B-0CC4,675107,7 класс,0,0,0,0,216,0.0,224
5283,755,Томская область,Томский р-н,SCHOOL-976B-5C2C-3C5C,675108,7 класс,212,0,212,216,216,168.36,224
5284,755,Томская область,г Томск,SCHOOL-98EA-E302-3FB5,675109,7 класс,112,0,112,176,216,31.2,224
5285,755,Томская область,г Томск,SCHOOL-30A4-C17E-D716,675111,7 класс,0,0,0,0,216,0.0,224
5286,755,Томская область,г Томск,SCHOOL-7D97-5338-C7E8,675116,7 класс,0,0,0,0,216,0.0,224
5287,755,Томская область,г Томск,SCHOOL-9E47-7324-512B,675118,7 класс,32,0,32,0,216,0.0,224
5288,755,Томская область,г Томск,SCHOOL-D3E3-9E59-0923,675120,7 класс,0,0,0,0,216,0.0,224
